FeII* 2622.4518 0.0560    2.66E+08
FeII* 2626.4511 0.04334   2.70E+08
FeII* 2629.0777 0.1730    2.61E+08
FeII* 2631.8321 0.1197    2.75E+08
FeII* 2632.1081 0.08353   2.72E+08
FeII  2600.1729 0.2130    2.700e8
FeII  2586.650  0.06840   2.720E8
FeII  2382.765  0.3006    3.100E8
FeII  2374.4612 0.03260   2.990E8
FeII  2367.5905 0.0000628 2.379e5
FeII  2344.214  0.109700  2.680e8
FeII  2260.7805 0.00244   4.849e6
FeII  2249.8768 0.00182   4.138e6
FeII  1901.7730 0.0001009 2.327E5
FeII* 1639.4012 0.0579    2.56E+08
FeII* 1636.3313 0.0405    2.56E+08
FeII* 1634.3498 0.0205    2.63E+08
FeII* 1631.1285 0.0186    2.56E+08
FeII* 1629.1596 0.0367    2.63E+08
FeII* 1621.6856 0.0381    2.63E+08
FeII* 1618.4680 0.0214    2.74E+08
FeII  1611.2005 0.00160   7.141e5
FeII  1608.4545 0.0585    1.996e8
FeII  1588.6876 0.0001239 4.092e5
FeII  1260.533  0.025000  1.312E8
FeII  1144.9379 0.10500   4.450E8
FeII  1143.226  0.013310  6.790e7
FeII  1142.3656 0.00247   3.195e7
FeII  1133.665  0.006000  2.000E8
FeII  1127.098  0.003000  2.000E8
FeII  1125.448  0.010990  2.000E8
FeII  1121.975  0.020000  2.000E8
FeII  1106.3596 0.001500  2.000E8
FeII  1096.8769 0.032000  2.000E8
FeII  1083.4204 0.004060  2.000E8
FeII  1081.8748 0.014000  2.000E8
FeII  1063.9718 0.004500  3.313e7
FeII  1063.176  0.060000  3.539E8
FeII  1062.152  0.003800  2.248e7
FeII  1055.2617 0.00800   5.989e7
FeIII 859.723   0.115     9.000e8 
FeIII 1122.526  0.078840  5.366e8
CoII  2059.471  0.012970  1.668e7
CoII  2026.407  0.060500  9.828e7
CoII  2012.161  0.04664   7.684e7
CoII  1941.280  0.07547   1.717e8
CoII  1574.545  0.08012   2.156e8
CoII  1572.648  0.025100  8.705e7
CoII  1552.760  0.01495   4.137e7
CoII  1547.946  0.02453   5.588e7
NiI   2320.744  0.685100  6.942E8
NiI   2311.669  0.376500  4.700E8
NiII  1751.910  0.063800  1.040E8
NiII  1709.600  0.068840  1.571E8
NiII  1741.549  0.103500  2.276E8
NiII  1703.405  0.012240  4.221E7
NiII  1502.148  0.01330   3.932E7
NiII  1467.756  0.022690  5.269E7
NiII  1467.259  0.011110  5.156E7
NiII  1454.842  0.059540  1.877E8
NiII  1393.324  0.022220  7.636E7
NiII  1370.132  0.130900  6.975e8
NiII  1317.217  0.145800  4.205e8
CuII  1358.773  0.380300  9.470e8
ZnII  2062.664  0.256000  3.965e8
ZnII  2026.136  0.489000  4.184e8
GeII  1602.4863 0.1345    9.906e8
NeVIII 780.324  0.0505    1.0e8
NeVIII 770.409  0.103000  1.000e8
