wave flux flux_err continuum
6715.857421875 274.9544677734375 13.443219184875488 283.71841182693606
6717.107421875 248.2836151123047 13.766165733337402 283.6186200178927
6718.357421875 295.1875 13.101913452148438 283.5202746965224
6719.607421875 259.211669921875 12.169267654418945 283.42338792962255
6720.857421875 261.1272277832031 12.096601486206055 283.3279717838159
6722.107421875 332.4129943847656 12.359740257263184 283.2340383264236
6723.357421875 293.5689392089844 12.215210914611816 283.14159962395206
6724.607421875 305.3288879394531 12.215034484863281 283.0506677435478
6725.857421875 287.6939392089844 12.107982635498047 282.96125475189183
6727.107421875 309.2550048828125 12.268510818481445 282.87337271583965
6728.357421875 316.039794921875 12.274399757385254 282.7870337024797
6729.607421875 288.9602966308594 12.579123497009277 282.70224977855105
6730.857421875 268.9551696777344 13.194987297058105 282.61903301096754
6732.107421875 273.74176025390625 12.961962699890137 282.5373954665847
6733.357421875 270.6487121582031 12.232687950134277 282.4573492122581
6734.607421875 285.1294860839844 12.131793022155762 282.37890631501796
6735.857421875 266.82305908203125 11.8837251663208 282.30207884142874
6737.107421875 251.77285766601562 11.87876033782959 282.2268788587535
6738.357421875 273.9249572753906 12.326493263244629 282.1533184336149
6739.607421875 273.46484375 12.673739433288574 282.0814096329268
6740.857421875 266.2487487792969 12.489755630493164 282.01116452371934
6742.107421875 257.1874694824219 12.13703441619873 281.94259517255705
6743.357421875 290.52947998046875 12.789260864257812 281.8757136466447
6744.607421875 280.123046875 12.76895809173584 281.8105320126633
6745.857421875 284.9889221191406 12.484320640563965 281.7470623375848
6747.107421875 268.915771484375 11.982475280761719 281.6853166882647
6748.357421875 282.1984558105469 12.119275093078613 281.62530713161686
6749.607421875 290.68902587890625 12.043197631835938 281.5670457344968
6750.857421875 287.7502136230469 12.079773902893066 281.51054456364363
6752.107421875 313.60040283203125 12.1847505569458 281.4558156861458
6753.357421875 294.4841613769531 12.139473915100098 281.4028711686842
6754.607421875 275.40252685546875 12.014060020446777 281.3517230783473
6755.857421875 280.44818115234375 12.133173942565918 281.30238348199055
6757.107421875 287.3083801269531 12.062057495117188 281.25486444623675
6758.357421875 236.5177764892578 11.676197052001953 281.2091780382907
6759.607421875 264.235107421875 11.819643020629883 281.1653363247751
6760.857421875 298.459228515625 12.18682861328125 281.1233513727202
6762.107421875 281.6358337402344 12.075506210327148 281.0832352489815
6763.357421875 254.73524475097656 11.866969108581543 281.04500002023997
6764.607421875 241.50885009765625 11.564085960388184 281.0086577538168
6765.857421875 268.499755859375 11.822945594787598 280.97422051621834
6767.107421875 286.84527587890625 12.010659217834473 280.94170037435833
6768.357421875 304.32843017578125 12.079028129577637 280.91110939520877
6769.607421875 338.1625671386719 12.400060653686523 280.8824596456252
6770.857421875 255.52947998046875 11.719696998596191 280.8557631926378
6772.107421875 301.6277160644531 11.997807502746582 280.83103210269473
6773.357421875 284.17034912109375 11.929374694824219 280.80827844317537
6774.607421875 289.52252197265625 12.04747200012207 280.78751428064425
6775.857421875 253.4205322265625 11.897205352783203 280.76875168201514
6777.107421875 237.62025451660156 11.756592750549316 280.7520027143182
6778.357421875 273.20623779296875 12.01594352722168 280.73727944417624
6779.607421875 305.2138977050781 12.05950927734375 280.7245939388522
6780.857421875 326.8876953125 12.198600769042969 280.7139582648524
